pool_tps,pool_process_time,failed_transactions,ttf,staking_time,preprepare_time,preprepare_wait,prepare_time,prepare_wait,commit_time,commit_wait,block_tps,concensus_time,total_time
391.45699239321243,1702.0,157.0,2139.0,54.0,212.0,27.0,201.0,12.0,16.0,0.0,1057.8512396694216,484.0,2196.0
391.45699239321243,1701.0,157.0,2132.0,55.0,198.0,15.0,201.0,11.0,23.0,0.0,1071.1297071129707,478.0,2188.0
391.9156414762742,1700.0,157.0,2119.0,54.0,195.0,10.0,200.0,12.0,15.0,0.0,1098.7124463519312,466.0,2174.0
394.9232585596222,1687.0,157.0,2110.0,56.0,196.0,12.0,203.0,12.0,15.0,0.0,1084.7457627118645,472.0,2167.0
394.4575471698113,1689.0,157.0,2114.0,55.0,202.0,19.0,199.0,11.0,16.0,0.0,1082.4524312896406,473.0,2172.0
394.22510312315853,1690.0,157.0,2121.0,54.0,208.0,22.0,200.0,10.0,16.0,0.0,1071.1297071129707,478.0,2178.0
396.0923623445826,1682.0,157.0,2104.0,53.0,199.0,10.0,200.0,11.0,15.0,0.0,1094.0170940170942,468.0,2160.0
391.2280701754386,1703.0,157.0,2129.0,54.0,195.0,11.0,206.0,12.0,17.0,0.0,1082.4524312896406,473.0,2186.0
392.6056338028169,1697.0,157.0,2119.0,56.0,201.0,16.0,198.0,11.0,16.0,0.0,1087.0488322717622,471.0,2177.0
392.14536928487695,1698.0,157.0,2132.0,56.0,211.0,25.0,199.0,11.0,15.0,0.0,1062.240663900415,482.0,2190.0
393.29805996472663,1694.0,157.0,2148.0,55.0,230.0,43.0,200.0,11.0,16.0,0.0,1019.9203187250996,502.0,2205.0
390.99941554646404,1704.0,157.0,2148.0,56.0,220.0,33.0,200.0,12.0,16.0,0.0,1038.5395537525355,493.0,2205.0
393.06698002350174,1694.0,157.0,2124.0,54.0,209.0,23.0,197.0,10.0,15.0,0.0,1075.6302521008404,476.0,2179.0
392.37536656891496,1698.0,157.0,2118.0,56.0,199.0,13.0,198.0,11.0,16.0,0.0,1091.684434968017,469.0,2177.0
396.44970414201185,1683.0,158.0,2114.0,55.0,199.0,12.0,208.0,12.0,16.0,0.0,1068.893528183716,479.0,2171.0
396.51162790697674,1712.0,170.0,2133.0,54.0,197.0,11.0,200.0,11.0,14.0,0.0,1096.3597430406853,467.0,2190.0
394.81268011527374,1727.0,173.0,2150.0,56.0,198.0,10.0,200.0,10.0,16.0,0.0,1087.0488322717622,471.0,2208.0
396.18276460381725,1722.0,173.0,2173.0,56.0,227.0,39.0,200.0,10.0,16.0,0.0,1024.0,500.0,2232.0
393.9566704675028,1746.0,179.0,2180.0,56.0,208.0,22.0,200.0,11.0,17.0,0.0,1062.240663900415,482.0,2238.0
391.3531723750702,1774.0,185.0,2218.0,58.0,219.0,34.0,201.0,10.0,15.0,0.0,1034.3434343434344,495.0,2278.0
396.483267158253,1755.0,187.0,2185.0,56.0,203.0,16.0,203.0,12.0,15.0,0.0,1071.1297071129707,478.0,2243.0
396.045197740113,1762.0,189.0,2185.0,56.0,196.0,11.0,203.0,13.0,15.0,0.0,1087.0488322717622,471.0,2244.0
393.8888888888889,1794.0,197.0,2237.0,55.0,220.0,33.0,202.0,11.0,14.0,0.0,1040.6504065040651,492.0,2294.0
393.9058171745152,1798.0,199.0,2225.0,57.0,202.0,17.0,202.0,12.0,15.0,0.0,1073.3752620545074,477.0,2285.0
395.65943238731217,1790.0,199.0,2226.0,56.0,210.0,23.0,203.0,12.0,15.0,0.0,1055.6701030927836,485.0,2284.0
395.65943238731217,1790.0,199.0,2221.0,56.0,208.0,23.0,200.0,12.0,14.0,0.0,1066.6666666666667,480.0,2279.0
392.3076923076923,1813.0,202.0,2231.0,57.0,196.0,11.0,199.0,11.0,16.0,0.0,1094.0170940170942,468.0,2290.0
392.81828073993466,1831.0,210.0,2259.0,56.0,208.0,23.0,198.0,11.0,14.0,0.0,1073.3752620545074,477.0,2318.0
396.26783754116354,1814.0,210.0,2258.0,57.0,219.0,34.0,200.0,11.0,15.0,0.0,1038.5395537525355,493.0,2317.0
397.13971397139716,1810.0,210.0,2233.0,57.0,200.0,16.0,200.0,12.0,14.0,0.0,1084.7457627118645,472.0,2293.0
