pool_tps,pool_process_time,failed_transactions,ttf,staking_time,preprepare_time,preprepare_wait,prepare_time,prepare_wait,commit_time,commit_wait,block_tps,concensus_time,total_time
387.8532772098617,1656.0,133.0,2078.0,54.0,198.0,12.0,201.0,12.0,15.0,0.0,1091.684434968017,469.0,2134.0
393.2926829268293,1633.0,133.0,2056.0,54.0,202.0,14.0,199.0,12.0,14.0,0.0,1089.3617021276596,470.0,2111.0
392.09726443769,1637.0,133.0,2062.0,56.0,202.0,13.0,200.0,10.0,14.0,0.0,1082.4524312896406,473.0,2120.0
391.85905224787365,1639.0,133.0,2061.0,55.0,198.0,13.0,201.0,12.0,15.0,0.0,1089.3617021276596,470.0,2118.0
392.33576642335765,1636.0,133.0,2066.0,54.0,206.0,20.0,198.0,11.0,16.0,0.0,1075.6302521008404,476.0,2122.0
389.9637243047158,1646.0,133.0,2074.0,55.0,203.0,19.0,200.0,12.0,16.0,0.0,1077.8947368421052,475.0,2131.0
389.9637243047158,1647.0,133.0,2068.0,54.0,197.0,10.0,200.0,11.0,16.0,0.0,1094.0170940170942,468.0,2124.0
390.90909090909093,1643.0,133.0,2065.0,54.0,198.0,12.0,201.0,11.0,15.0,0.0,1091.684434968017,469.0,2121.0
392.5745587340231,1636.0,133.0,2061.0,55.0,202.0,17.0,201.0,12.0,14.0,0.0,1082.4524312896406,473.0,2118.0
392.8136419001218,1635.0,133.0,2058.0,57.0,200.0,12.0,201.0,12.0,14.0,0.0,1082.4524312896406,473.0,2117.0
394.9785670545009,1627.0,133.0,2051.0,55.0,202.0,16.0,200.0,12.0,15.0,0.0,1082.4524312896406,473.0,2109.0
395.2205882352941,1625.0,133.0,2048.0,55.0,199.0,11.0,201.0,11.0,15.0,0.0,1087.0488322717622,471.0,2105.0
396.4351567301783,1620.0,133.0,2046.0,56.0,202.0,17.0,201.0,12.0,15.0,0.0,1077.8947368421052,475.0,2103.0
388.086642599278,1655.0,133.0,2074.0,58.0,196.0,11.0,199.0,10.0,17.0,0.0,1089.3617021276596,470.0,2134.0
387.62019230769226,1657.0,133.0,2085.0,54.0,202.0,16.0,199.0,11.0,19.0,0.0,1077.8947368421052,475.0,2141.0
394.0134392180818,1630.0,133.0,2084.0,56.0,222.0,35.0,207.0,10.0,16.0,0.0,1017.8926441351888,503.0,2142.0
395.3488372093023,1627.0,134.0,2051.0,55.0,201.0,12.0,200.0,10.0,15.0,0.0,1084.7457627118645,472.0,2108.0
392.68585131894486,1660.0,143.0,2079.0,55.0,196.0,11.0,200.0,11.0,14.0,0.0,1098.7124463519312,466.0,2136.0
394.10348977135976,1655.0,143.0,2075.0,56.0,196.0,11.0,199.0,11.0,16.0,0.0,1091.684434968017,469.0,2133.0
394.5783132530121,1652.0,143.0,2090.0,54.0,216.0,28.0,200.0,11.0,14.0,0.0,1057.8512396694216,484.0,2147.0
387.5739644970414,1683.0,143.0,2105.0,53.0,198.0,10.0,200.0,11.0,17.0,0.0,1094.0170940170942,468.0,2162.0
396.48910411622273,1645.0,143.0,2091.0,54.0,224.0,36.0,200.0,11.0,15.0,0.0,1038.5395537525355,493.0,2148.0
396.00967351874243,1647.0,143.0,2070.0,54.0,197.0,10.0,203.0,12.0,14.0,0.0,1089.3617021276596,470.0,2126.0
396.48910411622273,1645.0,143.0,2074.0,56.0,199.0,11.0,199.0,11.0,23.0,0.0,1071.1297071129707,478.0,2133.0
396.00967351874243,1647.0,143.0,2068.0,54.0,198.0,11.0,201.0,11.0,14.0,0.0,1094.0170940170942,468.0,2125.0
397.9343863912515,1639.0,143.0,2064.0,57.0,204.0,16.0,199.0,10.0,14.0,0.0,1077.8947368421052,475.0,2123.0
395.5314009661836,1649.0,143.0,2074.0,55.0,201.0,12.0,202.0,12.0,14.0,0.0,1082.4524312896406,473.0,2131.0
396.16995810891683,1664.0,150.0,2088.0,56.0,199.0,13.0,202.0,11.0,15.0,0.0,1082.4524312896406,473.0,2147.0
396.13809245172615,1701.0,165.0,2125.0,55.0,198.0,11.0,201.0,11.0,16.0,0.0,1087.0488322717622,471.0,2182.0
396.95550351288057,1701.0,166.0,2123.0,54.0,198.0,11.0,201.0,13.0,15.0,0.0,1091.684434968017,469.0,2180.0
396.62201514269077,1711.0,169.0,2137.0,56.0,204.0,15.0,201.0,11.0,15.0,0.0,1075.6302521008404,476.0,2196.0
396.6415749855241,1720.0,173.0,2139.0,55.0,197.0,10.0,198.0,10.0,15.0,0.0,1096.3597430406853,467.0,2196.0
395.3223046206503,1745.0,181.0,2178.0,53.0,207.0,11.0,200.0,11.0,16.0,0.0,1071.1297071129707,478.0,2233.0
395.89275527666854,1746.0,182.0,2170.0,55.0,202.0,14.0,199.0,11.0,15.0,0.0,1084.7457627118645,472.0,2228.0
397.8310502283105,1744.0,185.0,2173.0,56.0,206.0,18.0,200.0,11.0,14.0,0.0,1073.3752620545074,477.0,2232.0
396.0674157303371,1773.0,193.0,2193.0,62.0,197.0,11.0,200.0,12.0,15.0,0.0,1077.8947368421052,475.0,2258.0
396.5421081985499,1786.0,199.0,2207.0,55.0,195.0,11.0,200.0,12.0,18.0,0.0,1091.684434968017,469.0,2264.0
